key;ref;value;
title;Peace of mind to find<br>the right solution;L'assurance de trouver<br>la bonne solution
;;
product_clavaseptin_name;clavaseptin;clavaseptin
product_clavaseptin_title;Clavaseptin®;Clavaseptin®
;;
product_clindaseptin_name;clindaseptin;clindaseptin
product_clindaseptin_title;Clindaseptin®;Clindaseptin®
;;
product_oridermyl_name;oridermyl;oridermyl
product_oridermyl_title;Oridermyl®;Oridermyl®
;;
product_marbocyl_name;marbocyl;marbocyl
product_marbocyl_title;Marbocyl®;Marbocyl®
;;
product_fluidixine_name;fluidixine;fluidixine
product_fluidixine_title;Fluidixine®;Fluidixine®
;;
product_aurizon_name;aurizon;aurizon
product_aurizon_title;Aurizon®;Aurizon®
;;
product_cefaseptin_name;cefaseptin;cefaseptin
product_cefaseptin_title;Cefaseptin®;Cefaseptin®
;;
product_septotryl_name;septotryl;septotryl
product_septotryl_title;Septotryl®;Septotryl®
;;
product_predniderm_name;predniderm;predniderm
product_predniderm_title;Predniderm®;Predniderm®
;;
popItems_clavaseptin_title;Clavaseptin®;Clavaseptin®
popItems_clavaseptin_id;clavaseptin;clavaseptin
popItems_clavaseptin_span;;<div class="textgrey"><span class="grey">Amoxicilline + Acide clavulanique</span><br>en comprimés <span class="grey">appétents</span>,<br><span class="grey">bisécables</span>, 4 dosages</div>
popItems_clavaseptin_span;;<table>
popItems_clavaseptin_span;;<tr><td>Clavaseptin 50 mg</td><td>100, 250, <b>500 Comprimés</b></td></tr>
popItems_clavaseptin_span;;<tr><td>Clavaseptin 62,5 mg</td><td>100, 250, <b>500 Comprimés</b></td></tr>
popItems_clavaseptin_span;;<tr><td>Clavaseptin 250 mg</td><td>100, 250, <b>600 Comprimés</b></td></tr>
popItems_clavaseptin_span;;<tr><td>Clavaseptin 500 mg</td><td>100, 250, <b>600 Comprimés</b></td></tr>
popItems_clavaseptin_span;;</table>
popItems_clavaseptin_span;;<div class="blue"><b>Nouvelles présentations 2015 :</b><br>grosses boîtes de 500 ou 600 cp</div>
;;
popItems_clindaseptin_title;Clindaseptin®;Clindaseptin®
popItems_clindaseptin_id;clindaseptin;clindaseptin
